,dayreturn,price,volumeratio,priorvol,yrHi,yrLo,qHi,qLo,mHi,mLo,VixOpen,Gap,VixDelta,3MoMom,3MoFear,MktBeat
1922,0.0822809828657094,28.280001000000002,2.224754369467233,0.038895910394786355,0.5866003233063748,1.3492367533032803,0.8739184216959697,1.0831099163879772,0.9250899901864573,1.0831099163879772,14.64,0.012022630409383561,-0.008130081300812941,0.03601764720063638,0.054340569468538824,0
1923,-0.07851239669421484,4.46,1.1176501104695873,0.06877702988381816,0.405086285195277,2.703030303030303,0.6840490797546013,1.192513368983957,0.6840490797546013,1.0,14.64,0.024663677130045025,-0.008130081300812941,0.03601764720063638,0.054340569468538824,0
1924,-0.0804828973843057,4.57,1.7977316488907595,0.02217982391012938,0.5134831460674157,1.0,0.7629382303839733,1.0,0.7852233676975945,1.0,14.64,0.006564551422319376,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1925,0.11186440677966081,3.28,3.2699380270242813,0.03251647972103518,0.500763358778626,1.2058823529411764,0.7645687645687645,1.2058823529411764,0.9060773480662982,1.2058823529411764,14.64,0.021341463414634276,-0.008130081300812941,0.03601764720063638,0.054340569468538824,0
1926,0.2184873949579833,1.45,1.5829988549972378,0.06560923653410942,0.1579520697167756,1.2184873949579833,0.4289940828402367,1.2184873949579833,0.6041666666666666,1.2184873949579833,14.64,0.020689655172413834,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1927,0.10623946037099485,6.56,2.154377186232811,0.04143871842115915,0.5003813882532417,2.102564102564102,0.6283524904214559,1.1062394603709949,0.6728205128205128,1.1062394603709949,14.64,0.012195121951219523,-0.008130081300812941,0.03601764720063638,0.054340569468538824,0
1932,-0.08550053437833982,25.67,1.909158481550305,0.0224251882834458,0.7284335568425904,1.2546432675778725,0.8981805458362493,1.0812973883740524,0.906106600776562,1.0,13.25,-0.00038955979742894,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1933,0.0869565217391306,0.75,2.054995801847187,0.0257053857240291,0.5102040816326531,1.102941176470588,0.5905511811023622,1.102941176470588,0.9615384615384615,1.102941176470588,13.25,-0.026666666666666727,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1934,0.07631160572337037,6.77,0.4788975021533161,0.039016040324258,0.25346313191550474,2.226973684210526,0.7334777898158179,1.0919354838709676,0.8358024691358025,1.0919354838709676,13.25,0.004431314623338345,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1935,0.09610983981693355,19.16,0.8768821966341895,0.03114999887676374,0.8410886373534399,1.4818252126836815,0.924264351181862,1.2655217965653898,0.93326834226652,1.1217798594847777,13.25,0.012004123173277703,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1936,0.08092485549132955,7.48,0.6640479636138101,0.025957445108706394,0.6868686868686869,1.435700575815739,0.8385650224215248,1.2103559870550162,1.0,1.17425431711146,13.25,0.0053475935828875,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1937,0.080545229244114,8.72,1.8504426445658315,0.03183255478700852,0.7771836007130125,1.8513800424628453,1.0,1.6704980842911878,1.0,1.323216995447648,13.25,-0.0034403669724771824,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1938,-0.3009198423127464,5.32,8.540659126365055,0.03022718421831106,0.3151658954482166,1.0,0.4871794871794872,1.0,0.5807860262008734,1.0,13.25,0.05451127819548862,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1940,0.0888888888888888,7.35,2.2217401783562303,0.021626415546143137,0.7053742802303262,1.233221476510067,1.0,1.233221476510067,1.0,1.2009803921568627,13.25,0.004081632653061273,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1942,0.09050445103857552,7.35,1.6918742396106807,0.03490626408992877,0.4351687646636332,1.2628865979381443,0.7033492822966507,1.2148760330578512,1.0,1.2148760330578512,13.25,0.029931972789115635,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1943,0.08343949044585997,17.01,0.6469627209267785,0.035264811005312945,0.2763157849851237,1.1235138705416117,0.6253676240673668,1.1235138705416117,0.8586572871608931,1.1235138705416117,13.25,0.005878953556731181,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1944,0.1123595505617978,5.94,1.6544680851063829,0.04070749465093996,0.21191579693486276,1.2801724137931036,0.4168421052631579,1.2801724137931036,0.873529411764706,1.2801724137931036,13.25,0.010101010101009944,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1945,0.13310580204778177,9.96,1.1974218190498924,0.0568383498889204,0.8286189683860234,2.2739726027397262,0.9549376797698946,1.422857142857143,0.9549376797698946,1.2544080604534005,13.25,0.013052208835341306,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1946,0.07751937984496116,5.56,4.527536231884057,0.02412385055548354,0.46449456975772757,1.3462469733656173,0.9070146818923327,1.3462469733656173,1.0,1.127789046653144,13.25,0.01618705035971235,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1947,0.1132075471698113,1.18,7.322599531615925,0.02902552233701042,0.37942122186495175,1.710144927536232,1.0,1.2164948453608246,1.0,1.156862745098039,13.25,-0.06779661016949146,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
