USID,Date,stockid,price,dayreturn,Volume,mHi,mLo,qHi,qLo,yrHi,yrLo
227101,2017-02-28,11114,21.530001000000002,0.18492025316455707,14606200,1.0,1.2907674460431655,1.0,1.2907674460431655,1.0,1.53020618336887
227102,2017-02-27,11113,43.02,-0.1667635257260599,3945200,0.7851797630009169,1.0,0.7851797630009169,1.0,0.6654292137531567,1.2788347585860513
227103,2017-02-15,11112,60.610001000000004,0.0813559693373056,5691700,1.0,1.2264266178238212,1.0,1.5992083852660484,1.0,3.0244509967838824
227104,2017-02-24,11103,14.15,0.08846153846153859,3168600,0.9593220338983051,1.1551020408163266,0.9433333333333334,1.1742738589211619,0.9433333333333334,1.4632885211995863
227105,2017-03-01,11099,3.62,-0.22483940042826545,5312500,0.7029126213592233,1.0,0.7029126213592233,1.103658536585366,0.5718799368088467,1.1753246753246753
227106,2017-03-02,11099,3.9,0.07734806629834257,3009100,0.7572815533980581,1.0773480662983426,0.7572815533980581,1.1890243902439024,0.6161137440758294,1.2662337662337662
227107,2017-03-07,11099,2.99,-0.16713091922005563,3659400,0.5805825242718446,1.0,0.5805825242718446,1.0,0.47235387045813587,1.0
227108,2017-02-13,11094,3.96,0.1061452513966481,10440700,0.8608695652173913,1.115492957746479,0.8181818181818182,1.115492957746479,0.6027397260273972,1.115492957746479
227109,2017-02-14,11094,4.47,0.12878787878787867,10967700,0.9759825327510916,1.2591549295774649,0.9235537190082644,1.2591549295774649,0.6803652968036529,1.2591549295774649
227110,2017-02-21,11090,7.9,0.12056737588652489,1514100,1.0,1.161764705882353,1.0,1.6989247311827957,1.0,3.95
227111,2017-03-10,11090,7.65,0.1007194244604317,896900,0.9683544303797469,1.125,0.9683544303797469,1.6451612903225805,0.9683544303797469,2.8867924528301887
227112,2017-03-13,11090,8.45,0.10457516339869266,1667300,1.0,1.2335766423357664,1.0,1.8172043010752685,1.0,3.188679245283019
227113,2017-03-08,11082,10.21,-0.07601809954751126,4326300,0.7805810397553518,1.0,0.716994382022472,1.2140309155766944,0.716994382022472,2.058467741935484
227114,2017-02-23,11078,11.05,-0.07916666666666661,323200,0.9208333333333334,1.078048780487805,0.6842105263157896,1.078048780487805,0.5695876288659795,3.634868421052632
227115,2017-03-01,11078,11.95,0.10138248847926268,338100,0.9958333333333332,1.1658536585365853,0.739938080495356,1.1658536585365853,0.615979381443299,3.265027322404371
227116,2017-03-15,11078,11.4,0.09615384615384626,455800,0.9500000000000001,1.193717277486911,0.7169811320754716,1.193717277486911,0.5876288659793815,2.5277161862527717
227117,2017-03-15,11072,8.53,0.08111533586818753,325700,1.0,1.12532981530343,0.940463065049614,1.12532981530343,0.9383938393839384,1.2943854324734445
227118,2017-02-24,11062,31.34,0.24414445239601212,14794100,1.0,1.2496012759170654,0.8037958038576145,1.2496012759170654,0.6793843338524965,1.2496012759170654
227119,2017-03-15,11055,9.34,0.08101851851851838,1546600,1.0,1.1689612015018773,1.0,1.1689612015018773,0.6847507331378299,1.1689612015018773
227120,2017-02-10,11052,3.1,4.081967213114754,164800,1.0,5.254237288135593,1.0,5.254237288135593,1.0,5.254237288135593
