USID,MarketCapitalization,PriceToBook,Beta
46443,9.4356,0.9393,2.0835
42251,4.6626,0.3905,0.5813
23712,169.3216,26.581,0.6474
128693,1274.2821,2.3189,1.5469
122895,521.6854,1.1934,0.0153
114027,16.1437,3.7442,0.9493
111227,137.6553,2.6952,0.8418
107602,40.2325,0.6945,0.6919
106990,82.2544,3.0003,0.7128
105429,6.3218,-24.6914,0.7243
99141,52.4178,1.195,0.9681
77537,5.9893,0.086,0.7358
162866,106.5503,22.5314,1.037
157854,856.9035,5.7412,1.1978
156742,4.8423,0.0821,1.258
153059,13.7281,1.3397,-0.1634
135245,14.8093,-5.6011,0.5208
134337,83.8656,-2.3253,-0.1548
126148,18.002,1.2978,0.4115
121763,263.0508,16.9989,0.2975
113082,554.739,-3.7799,1.5599
66679,518.1793,4.868,0.5049
26867,32.1582,2.8311,-0.2933
22882,236.4004,2.5138,1.3345
22011,56.2365,1.3344,1.0095
7815,89.2663,0.774,0.6513
122894,567.3204,1.3332,0.0781
111214,100.7096,4.7391,0.5479
106984,92.6888,3.1434,0.2725
106664,435.204,36.3547,0.9553
105778,32.6353,0.7182,1.5914
94975,380.8544,6.5385,1.1813
85361,3540.2304,10.7588,1.8405
107559,31.2978,0.4993,0.165
83224,3312.4288,9.1355,0.4602
75525,24.4429,1.2862,0.477
56918,36.9702,0.6436,0.5764
68031,49.1414,3.0052,0.5804
44515,139.3392,3.2227,0.8992
5065,86.0727,7.453,1.0314
110443,4131.7073,2.9019,1.6686
105731,1377.1644,22.9023,1.7392
93858,81.4352,1.9921,0.7101
83748,269.857,4.6137,1.3095
83628,4.7896,0.2435,-0.1507
63702,252.5615,3.2128,2.285
30632,36.8331,0.6648,0.7989
91256,109.3296,1.312,0.9566
90659,193.9311,-2.9817,1.6312
63701,257.4358,3.2748,2.3563
39150,240.7102,1.2781,1.5561
38744,942.6696,3.7045,-0.0781
26989,4096.1004,7.215,2.4053
149289,2652.1023,5.9977,0.9519
145905,7874.1016,243.9947,1.7911
143316,379.2595,0.6361,2.1616
141576,440.0342,12.3445,1.2093
139106,1336.3623,2.2162,1.7058
116767,365.589,4.089,1.3922
109712,4778.5677,2.2557,1.3232
105376,4.6631,-21.5879,0.5934
103156,2202.078,7.0059,0.9205
104625,1101.4432,2.5008,1.3188
99284,1246.3744,2.9756,1.0761
86757,375.0208,0.5038,1.9681
58628,18.5389,1.2573,0.7694
38680,240.6993,13.9629,1.3116
36927,12670.5827,3.1257,0.7851
97275,410.6725,3.8526,0.6218
90169,1299.6054,1.3288,1.2008
85713,915.9298,7.9173,1.2034
84071,559.1136,3.4852,1.5117
63638,168.5912,4.336,0.2976
59256,1015.5585,1.8543,1.3837
48561,127.6672,236.8711,0.2003
45092,43.7205,5.3744,0.8862
34643,277.1772,1.898,1.2267
5010,9.2195,0.354,1.0473
3259,22.3164,1.2511,0.2683
60894,506.4637,8.4419,1.5821
58626,16.5911,0.9071,0.7588
21969,1264.1191,2.7803,1.0421
141575,336.0311,5.5279,1.2729
140284,423.2273,4.097,1.0228
122490,80.2819,1.4441,1.3538
115953,3378.9769,180.6695,0.8016
113063,871.1605,3.4183,2.0057
111656,564.6973,1.9556,1.5569
105710,1459.6815,16.6448,1.7345
124072,37.0673,0.3649,0.4246
121371,402.3492,4.1087,1.4673
118687,8.1303,1.4416,0.6446
116321,216.8993,4.5085,2.4876
110231,1502.3424,3.8036,0.991
107515,53.295,0.6608,1.0676
106245,138.2606,1.8178,1.6804
105708,1657.5299,18.9008,1.7117
101248,110.1185,1.055,1.171
73938,6366.2555,-43.3651,1.1924
65740,1942.2720000000002,31.5918,1.5331
55530,47.4542,0.5707,0.7422
45207,282.5939,1.0216,1.0667
26766,15.24,-10.6948,0.0
134079,222.5075,3.3219,0.4738
124070,36.5796,0.3601,0.4064
123816,921.7044,1.9693,0.4563
102391,282.0467,1.0257,1.9708
93165,91.2674,2.6308,0.4489
81730,1.6049,-0.1923,0.0
68746,63.8901,36.0553,1.7199
47267,251.621,3.7394,1.8632
49106,4.9863,0.3318,0.8783
6200,9736.5566,38.0943,0.5378
124212,145.5563,2.1496,0.1633
122481,139.2301,1.689,1.3954
122056,134.5942,0.9463,1.1445
120929,1218.3419,14.822,1.5169
105700,1441.6828,14.7364,1.6262
105354,8.5506,3.6463,0.5374
102614,2839.3928,59.5246,1.2695
99260,448.6313,1.0482,0.8035
71716,2479.9723,4.1925,1.1841
68019,53.3808,3.3927,0.4237
45620,103.6409,3.5689,1.7092
44493,39.5031,0.2556,0.9162
10755,60.3825,1.0393,1.4075
92657,16.6488,0.6415,0.3769
90613,63.3705,-2.013,1.4265
75492,23.7607,2.143,0.5813
69795,39.7934,0.5818,0.4266
68741,56.2559,4.8753,1.8605
66505,140.431,1.0437,1.5313
56884,21.766,0.4799,0.3775
46925,1350.1321,1.9871,1.1994
145043,247.877,0.3529,1.1568
144027,43.9604,6.8572,0.8444
137606,410.6479,2.4217,0.3005
111652,553.4669,2.0786,1.5603
102489,266.4541,8.2945,1.0
98439,173.1195,2.9914,0.4813
90028,126.6967,0.6659,1.7601
85919,1441.1979,0.7828,1.3386
93844,95.4586,1.9675,0.7714
88669,31.2554,1.2622,0.4164
76195,461.0785,2.7571,1.0956
76079,3110.4595,2.5508,1.0922
71967,908.8685,7.6345,0.9699
66080,644.4882,2.3937,1.3593
59731,217.0625,2.0216,1.4733
109348,3153.001,2.015,1.0961
108518,603.3534,2.101,0.7938
108345,3951.8128,9.2625,1.1411
103512,317.2436,7.4587,1.5198
102812,4306.8494,5.5253,0.8814
93843,94.5885,1.9496,0.857
88133,282.504,15.8434,1.7614
81655,0.6182,-0.0436,0.0
66646,679.697,1.69,1.2691
61139,34.7788,2.1915,-0.1142
45063,28.3343,2.9031,0.8267
37762,1.4702,0.4275,0.5281
102808,7194.5532,10.0953,0.8726
100960,1245.8633,5.6727,1.0909
80066,30.0846,2.4317,-0.0371
55742,328.4424,7.3125,1.3305
54566,115.6043,0.6885,2.0822
43591,616.0873,1.5085,1.5717
37760,1.7893,0.5203,0.5149
36303,287.1228,3.8623,2.0286
110961,1231.8533,1.5966,2.0912
107503,59.565,0.6717,1.1617
106964,7440.6418,2.2018,0.8788
105336,4.9794,1.0483,0.6236
93842,138.1999,3.0148,0.862
71170,6.6886,1.6028,0.4109
68724,45.1216,32.7686,1.9579
55738,205.4388,4.5739,1.3135
38210,99.2722,0.8448,0.7748
37754,1.7205,0.5003,0.5605
30609,14.8564,0.2912,0.7032
18289,105.5676,1.1503,2.021
15691,125.506,0.6812,0.8293
15063,43.2163,3.9761,0.6418
104089,39615.4275,5.4167,0.6922
100057,309.3569,3.909,0.7539
71708,2672.7743,5.6821,1.0444
37742,0.3566,0.1037,0.5405
29776,705.908,3.2643,1.4805
25251,1080.0957,5.7018,1.6324
42149,12.3692,0.962,0.942
19065,3680.767,23.9207,0.6639
4261,1300.6664,1.9245,0.6554
137906,18.4584,2.3751,0.4505
136373,365.3414,11.767,1.0582
123302,175.1954,2.0536,2.8979
122383,410.1779,120.3921,2.1945
106709,126.5258,17.8531,1.1022
102703,875.868,47.4796,1.0337
102146,64.8862,-27.673,-0.0222
99177,40.0887,3.1103,0.9561
140268,276.385,1.9353,1.9688
139981,5.8233,0.2586,0.1386
134835,56.9569,1.649,1.4479
132963,104.6534,3.8794,0.9259
126153,18.8275,1.2817,0.4464
122609,20.3515,1.7793,1.0962
107011,66.9357,3.1068,0.8806
121773,259.0357,11.3307,0.6933
100322,18.8506,1.879,0.9683
73333,33.2724,4.1266,0.7057
67345,37.0979,0.2665,1.097
122573,9.8209,0.8586,1.2605
121195,1562.2583,17.8281,1.2574
119848,131.0616,-79.6257,0.7382
107610,41.173,0.7545,0.7211
105805,272.8481,5.1561,1.1001
103308,135.226,2.4489,0.9201
102507,199.0807,13.3505,1.1286
85371,4301.5324,13.8178,1.4216
83758,119.1499,1.358,1.1173
60856,432.5645,0.658,1.2213
56403,4115.2187,88.9965,1.5634
55623,55.9448,0.5892,0.3224
83686,4.9737,0.2152,-0.8344
44545,140.1243,-4.4747,0.981
19198,193.2262,9.7425,1.3071
622,206.2739,3.7243,1.7454
116339,238.3341,5.9092,2.6645
106634,280.399,50.6773,0.7343
105389,5.0771,-23.5044,0.6073
83607,4.2851,0.2099,-0.0386
57603,847.6815,2.3692,1.1964
54594,321.455,3.8478,2.0632
26787,29.1272,-174.3358,0.2439
12675,41.4755,2.6988,0.1956
102619,3654.0939,147.6062,1.4925
90633,84.8973,-4.9848,1.5053
