USID,MarketCapitalization,PriceToBook,Beta
227247,2073.0276,-151.7707,2.3312
227265,509.5397,20.8136,1.998
227282,247.955,2.3869,1.1063
227292,2158.2229,1.6092,1.0997
227313,315.3154,0.3313,1.5354
227366,572.7952,1.4163,0.2659
225963,43.8898,3.6551,0.4142
225999,252.9458,0.8193,1.0137
226033,10.3798,-0.5823,0.0
226044,43.2367,1.8864,2.2116
226060,82.8242,-0.9859,1.068
226147,139.7237,1.3872,1.1124
226219,3299.283,10.0766,1.1732
226220,385.039,1.6,1.1465
226247,64.7653,0.8822,1.8721
226366,6.7534,0.6103,0.8664
226398,362.8571,6.6709,1.5035
226425,12.4107,0.1217,0.1115
226526,166.079,0.6241,0.8821
226536,117.5059,4.6579,0.0236
226569,7.1815,0.1072,1.1307
226632,258.4724,7.2922,1.0227
226633,111.5219,10.9027,1.9753
226644,227.2516,2.4541,1.806
226679,104.4359,1.5709,0.4531
226694,40.9605,2.5549,0.4953
226701,22.2429,0.4328,1.335
226706,35.4589,1.9856,0.4367
226755,165.5988,3.528,0.6679
226794,212.1452,1.0207,2.1372
226804,569.8541,1.6051,1.5031
226825,11.1923,1.9594,0.5306
226869,763.7683,-22.9284,1.4817
226877,20.3098,1.1286,1.6091
226937,50.5231,2.5092,1.2132
226958,790.4882,4.2151,1.6503
226983,927.4765,1.6855,1.4441
226988,31.2755,-0.9417,0.4848
227034,527.7469,1.3212,1.8894
227038,2053.4119,4.7227,1.3205
227045,385.1226,2.9622,0.8049
227049,599.5962,1400.385,0.5644
227057,2906.0325,7.1209,1.2051
227065,3469.0604,0.9543,0.862
227104,1873.3937,1.9332,1.2284
227118,1277.433,1.4159,1.0739
227139,74.0797,0.3262,0.9427
227159,25.8586,0.1057,0.7947
227190,180.7427,0.3856,1.4902
227209,160.0456,0.1123,1.858
227212,1104.644,3.8044,2.0554
227215,6.9906,0.1811,1.4449
227223,438.2757,0.5536,0.711
227248,1906.0337,-139.5447,2.3307
227266,448.3853,18.3156,1.9978
227278,1950.0,1.618,1.3401
227299,1355.0201,3.8455,0.4482
227303,1438.9486,3.9425,1.0052
227315,1684.702,-1.4299,1.2073
227346,160.0914,1.6216,0.7538
227351,80.4979,0.9498,1.9766
227364,371.3756,1.8581,-0.39
227367,617.7755,0.7806,1.3704
225964,45.287,10.0974,0.3588
225973,33.5012,0.8419,0.0
226099,153.4265,1.9696,0.7682
226101,5.287,0.6287,0.0
226105,92.4675,5.4335,-0.1419
226122,237.2613,1.7867,1.2974
226143,574.399,7.614,0.8261
226168,17.7434,0.0638,0.8175
226209,20.1119,1.1131,1.053
226228,85.3172,-267.4467,1.2512
226256,333.0229,-104.6864,1.7845
226270,74.0664,-3.3926,0.2073
226289,59.3223,1.7719,0.8717
226298,110.7737,2.5516,5.5447
226320,666.8017,1.478,1.2915
226333,10.4948,3.4409,3.3431
226350,518.2479,7.2352,-0.735
226376,180.821,-0.7576,1.4787
226380,115.3451,1.4494,0.4795
226413,4.4258,0.2248,0.6553
226497,1801.2855,10.0941,1.1119
226506,21.459,-9.6889,0.7098
226538,74.5964,2.957,0.0
226542,3.431,0.1255,0.6038
226549,1150.6623,2.5745,1.0882
226590,1104.2953,6.699,1.2552
226597,81.1051,1.2283,1.7274
226673,15.0063,1.0025,0.3098
226696,485.3192,6.1841,2.0404
226743,347.8232,3.6179,1.2478
226758,158.4077,3.3748,0.615
226766,60.5956,0.948,1.2695
226880,25.6774,1.4268,1.6296
226904,22.8361,1.1448,1.0712
226941,53.6163,2.6628,1.1672
226955,93.6188,0.1633,2.8062
226962,139.1698,1.1801,1.4724
226991,36.121,-1.0876,0.0
227062,76.5975,0.5168,1.7778
227128,97.2073,0.9676,1.0064
227136,46.6045,0.0175,2.0001
227219,1757.94,1.6353,2.7355
227283,228.1186,2.1959,1.107
227288,138.2489,3.2381,1.1098
227296,796.7037,-1.1718,1.3569
227318,2173.8796,-2.0079,1.1703
227319,670.7918,4.3418,0.9366
227353,73.5413,0.8677,2.0274
227369,542.2918,0.8698,1.8392
225972,37.6715,0.9467,2.5367
226048,1625.7604,11.1557,5.6968
226065,20644.8,3.9709,1.6759
226074,338.7846,6.0412,0.5115
226113,16.1346,2.9923,0.7289
226150,29.7451,7.2495,0.8397
226167,18.0913,0.0651,0.8001
226190,178.9536,6.4226,0.1723
226197,60.8872,3.485,1.1091
226208,23.8739,1.3213,1.0532
226210,136.875,2.6126,0.77
226248,62.2855,0.8484,1.8752
226252,127.6245,-3.4881,1.5855
226358,1177.1897,1.9276,1.9602
226362,15.298,11.1246,1.0039
226395,49.4399,2.459,0.3711
226403,66.9435,1.3676,1.1173
226408,3524.4728,7.1295,1.3654
226412,4.0569,0.2061,0.7007
226444,16.6685,-6.7918,0.366
226476,2346.7456,7.7843,1.0187
226493,27.2438,3.763,1.0021
226496,816.9632,1.4434,0.9074
226503,19.2707,-8.7009,0.6041
226515,639.6448,8.0165,0.715
226516,454.2364,1.7092,0.8477
226630,6.7611,5.8527,0.5773
226647,887.7233,5.2165,2.0887
226658,0.2854,0.0219,1.3148
226671,12.2273,0.8168,0.3274
226715,125.9552,-2.0159,2.1629
226739,42.9019,-0.8454,0.8031
226756,161.2842,3.4361,0.6868
226773,229.12,8.8585,1.8171
226795,178.16,0.9717,2.1391
226805,44.5753,1.2312,0.2704
226826,10.245,1.7936,0.5284
226845,460.3997,291.7251,2.5101
226862,13.1342,2.0775,-0.1255
226879,20.1647,1.1205,1.6122
226908,94.8741,1.2823,1.9642
226921,51.8842,10.3769,-0.198
226954,110.2622,0.1923,2.8111
227044,6910.6054,6.1943,-1.9162
227050,16668.93,14.6545,1.5409
227055,919.0461,-0.7453,1.4662
227061,86.481,0.5835,1.7859
227101,761.7321,1.5139,0.5715
227155,43.6468,0.1131,2.3385
227160,23.7899,0.0972,0.7786
227164,1895.3459,0.9611,0.9112
227195,151.68,0.4174,1.4757
227201,586.644,-0.1364,1.3782
227218,1885.76,1.1988,2.1305
227225,382.8312,0.4835,0.6929
227238,2507.544,1.1805,1.0421
227274,2318.8654,1.7095,1.1658
227275,753.3860000000001,6.7811,-2.3089
227390,110.6703,0.4255,1.2976
227394,32.0406,0.2915,1.3432
227396,217.3867,1.3293,1.145
227398,4409.0325,2.0613,1.1614
225974,34.4743,0.8663,0.0
225995,257.8251,0.6311,0.5407
225998,301.6132,6.0422,1.2807
226013,56.9677,0.6911,2.22
226039,94.2899,-1.1006,0.7291
226045,47.3228,2.0646,2.2373
226057,286.71299999999997,2.0472,2.8857
226081,270.6776,3.217,1.6966
226083,992.0615,-119.0823,0.7239
226121,19.5524,0.3235,0.4612
226135,70.9955,2.14,0.2901
226148,170.2172,1.69,1.0924
226171,71.4485,1.2742,1.5012
226193,274.6884,9.8585,0.145
226230,81.5846,-255.7459,1.0701
226235,29.0828,-9.2965,0.544
226238,35.5247,1.9061,1.1385
226272,76.4252,-3.5006,0.2563
226356,10.227,0.1028,1.4181
226369,33.4993,1.255,1.3609
226390,275.1072,1.3913,0.7176
226402,236.9453,2.7271,1.331
226460,34.916,6.9832,0.0
226473,49.3129,-33.387,0.0
226492,9.7192,-0.4951,0.9706
226498,1937.14,10.8554,1.0745
226521,21.5386,3.0654,1.3776
226546,1.4797,0.0541,0.768
226636,73.7483,7.2098,1.8914
226665,7.0196,-3.915,0.0
226678,55.0957,0.9192,2.7079
226690,0.1878,0.0419,0.0
226708,40.4644,2.2659,0.3994
226710,3.4313,1.2924,0.0533
226720,231.5097,1.7634,0.6372
226724,400.6645,3.017,0.139
226744,401.4825,4.6905,1.2155
226787,68.1874,4.103,0.4506
226791,8.1685,13.9205,0.0342
226802,31.1276,0.8445,1.2629
226833,291.45,5.4162,2.0105
226841,74.7034,-3.4697,0.9699
226854,14.9165,1.7147,0.2197
226906,28.837,1.4456,1.0844
226910,6.1365,1.1334,1.3005
226929,654.7162,2.4231,1.7044
226944,51.5541,2.5604,1.1653
226951,391.3653,6.8673,0.5303
226987,11.8811,0.6858,0.42
227000,103.132,-2.3868,1.3986
227013,160.101,0.478,0.4924
227074,212.4566,0.5457,0.9904
227112,636.2738,0.6651,0.0
227176,13441.7584,19.2462,1.17
227188,277.8958,1.2717,1.0123
227234,407.598,3.8538,0.514
227331,463.6735,4.2672,1.2647
227337,346.069,5.1691,0.9465
227356,59.6281,0.7035,2.0351
227379,2593.3238,1.8423,0.0
227395,38.6628,0.3517,1.4337
225975,30.999,0.779,0.0
226014,50.679,0.6148,2.2151
226016,248.6827,4.1374,0.3019
226026,8.486,0.7991,0.07
226029,108.8783,0.5168,0.721
226046,43.8021,1.911,2.2462
226058,8238.971,13.4797,1.8045
