USID,n3r,n5r,ndr,ndv
135723,-0.016032144,-0.014028076,-0.026911018,704200
163467,0.002666613,-0.008533333,0.010781726,1639900
103303,-0.010810811,-0.029189189,-0.018046709,631400
177101,-0.095522388,-0.098507463,-0.104278075,526000
90044,-0.026455026,0,-0.030769231,282000
224325,-0.00154679,0.028615623,0.033573141,155100
180872,0.099128036,0.10142262,0.009731279,363000
116733,0.010351967,0.016563147,-0.049836066,1602600
103262,0.08,0.057,-0.012833169,3796200
58395,-0.070707071,-0.018759019,0.008733624,1326900
147389,0.451612903,0.494623656,-0.021052632,225100
25957,-0.067357513,-0.044041451,-0.017811705,1082300
204180,-0.137546468,-0.150557621,0.017013233,704000
144184,-0.126666667,-0.737777778,-0.013157895,228200
63695,-0.08994709,-0.075837743,0.003539823,449100
218083,-0.233766234,-0.233766234,0.222222222,713100
182001,0.044444444,0.088888889,-0.007352941,689500
210884,-0.046610223,-0.045197822,0.023121504,107100
182571,-0.026809651,-0.008042895,-0.028645884,887200
177100,-0.176470588,-0.176470588,0.214285714,1818300
204891,-0.075630252,-0.019607843,0.037790698,10248700
70440,0.011081132,0.011979695,-0.019958937,667900
222528,0.000702741,-0.004216444,0.025955299,827100
142630,-0.037275064,-0.007069409,-0.010178117,6952900
194744,-0.000561685,0.00168545,0.000562001,2539600
102887,0.114754098,0.108196721,0.009933775,144200
197281,-0.00490201,0.036764706,-0.014492801,601200
222089,-0.134883721,-0.153488372,-0.020501139,647700
97269,-0.010958959,-0.004109644,0.012482691,1212500
144183,-0.114035088,-0.114035088,0.096153846,213600
192576,0.011173184,0.06424581,-0.029810298,664700
140069,0.035019455,0.058365759,-0.072202166,1102400
182000,0.058823529,0.058823529,0.167381974,1080900
222088,-0.102505695,-0.15261959,-0.16539924,1976300
75224,0.0816,0.1408,-0.053030303,246300
11114,-0.012048193,0.036144578,0,523700
63269,-0.011764706,-0.003921569,0.007905138,23200
222774,-0.016872891,-0.043869516,0.047114252,88300
130175,0.0136,-0.0576,0.02207686,379500
32225,-0.038297872,0.020425532,0.048171276,189500
101013,0.005115141,-0.023017853,0.026246721,320500
17055,-0.007832915,-0.022628355,0.009666063,62500
19313,-0.011111111,-0.022222222,0.022727273,880600
128413,-0.038410623,-0.046357616,0.024423393,170300
46380,-0.013818145,-0.028545455,0.002186571,41751800
179257,-0.101449275,-0.1352657,0,82400
132466,0.078651685,0.056179775,-0.032608696,660500
36382,0,0.014285714,-0.04109589,831900
52841,-0.001697793,-0.005093379,0.033333333,183600
144182,0.026442308,-0.055288462,-0.075555556,257800
181367,-0.017426313,-0.032126908,-0.013662367,3501400
221264,-0.076124567,-0.138408304,-0.03986711,3224900
