USID,LatestCloseAsPercentOf10DayAverage,LatestCloseAsPercentOf10WeekAverage,LatestCloseAsPercentOf200DayAverage
186194,91.9292,103.0468,109.2756
76123,110.5489,132.2793,144.5216
7076,126.9346,138.9908,137.0347
74296,92.6852,94.2231,84.9359
145531,110.7232,116.8107,157.4753
3296,104.3714,108.7879,158.3901
194203,108.4781,116.5102,98.8949
121220,86.4466,88.6018,120.1592
200403,92.5373,103.1383,117.1476
22636,119.2079,128.1125,123.9742
164524,91.5514,94.3885,116.5241
22645,112.9589,117.2801,108.6738
222086,119.1639,123.3861,149.5996
25711,113.2572,106.743,146.8901
204559,104.9195,108.5158,121.572
733,123.0497,124.2867,90.7502
143406,87.7193,54.8084,22.3226
121219,94.5237,98.1322,132.979
54438,118.7722,120.7893,98.275
147388,124.8247,137.1026,116.1092
207526,111.6967,133.7323,175.1425
81874,113.1375,111.7334,110.9159
156250,86.728,82.9856,46.4066
97651,91.0597,90.548,107.3778
25955,83.5882,80.623,64.9687
161118,123.3422,133.181,151.1475
204125,109.9859,121.128,141.6759
45147,124.6521,135.1572,85.5445
178900,109.284,153.7586,158.8527
172844,97.1338,98.0875,84.8501
128410,111.3368,112.1173,151.6269
199246,84.8567,81.647,95.8678
138530,95.5659,92.5093,98.4139
199278,94.5657,101.154,113.4992
183606,117.3678,112.7432,50.3863
58757,105.75,105.8122,73.6043
197998,106.7197,112.106,105.1284
46604,108.6454,119.2874,147.3053
163262,91.649,89.6128,119.1385
39967,90.0995,101.0677,112.4609
185309,110.9405,114.1861,131.4129
195305,94.2765,102.7399,101.0672
213,94.8653,86.7815,110.7555
224823,124.6905,127.3044,114.7684
205557,89.7763,90.2752,95.3752
144180,117.756,118.4369,98.6878
218981,85.4617,93.1393,104.6969
147387,113.3429,122.9877,102.9396
108301,95.0517,82.059,79.5892
170479,110.7486,113.2813,106.1458
175565,89.399,91.713,85.5659
55468,111.8032,108.1117,112.5182
144179,110.0888,109.127,90.339
143405,67.4274,42.8453,19.2046
36379,112.5402,101.7002,69.3736
81611,101.9168,101.1811,109.0459
4361,100.0855,97.9658,101.1728
85285,111.2399,116.7702,123.101
151256,105.4422,111.0388,117.0907
218343,121.4569,127.8109,134.5082
88907,107.8595,94.5202,71.9607
185322,105.0188,107.7829,107.7339
57479,106.8948,96.2801,76.0477
88715,104.6809,112.2306,77.5543
222894,113.1222,107.348,100.5325
147028,107.4481,107.0948,84.6374
202561,36.3782,35.8346,35.8346
9734,104.6159,103.8465,113.8288
201639,108.9631,99.1561,105.4027
166385,113.9907,84.3271,81.4437
48432,111.9525,128.3718,109.2908
121416,107.1864,74.3217,33.6877
68132,107.1511,111.0368,135.9338
