symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
IGD,Voya Global Equity Dividend and Premium Opportunity Fund,7.04,686744432,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/igd,3005
IDE,"Voya Infrastructure, Industrials and Materials Fund",13.78,266944478.84,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/ide,3006
IID,Voya International High Dividend Equity Income Fund,6.65,55894619.9,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/iid,3007
IRR,Voya Natural Resources Equity Income Fund,6.59,150028256.32,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/irr,3008
PPR,Voya Prime Rate Trust,5.59,826133192.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ppr,3009
VTTI,VTTI Energy Partners LP,18.35,738587500,n/a,2014,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/vtti,3010
VMC,Vulcan Materials Company,128.88,17052019233.12,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/vmc,3011
WTI,"W&T Offshore, Inc.",2.88,394798533.12,n/a,2005,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wti,3012
WPC,W.P. Carey Inc.,62.43,6635096297.25,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wpc,3013
WRB,W.R. Berkley Corporation,67.87,8237509495.6,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/wrb,3014
WRB^B,W.R. Berkley Corporation,24.3,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wrb^b,3015
WRB^C,W.R. Berkley Corporation,25.2684,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wrb^c,3016
WRB^D,W.R. Berkley Corporation,24.64,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wrb^d,3017
GRA,W.R. Grace & Co.,71.47,5009732889.35,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gra,3018
GWW,"W.W. Grainger, Inc.",251.6,14987699786.4,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/gww,3019
WNC,Wabash National Corporation,21.14,1311436938.84,n/a,1991,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/wnc,3020
WBC,Wabco Holdings Inc.,114.55,6310147578.2,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/wbc,3021
WDR,"Waddell & Reed Financial, Inc.",17.9,1482233253.3,n/a,1998,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/wdr,3022
WAGE,"WageWorks, Inc.",72.45,2654742894.3,n/a,2012,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wage,3023
WD,"Walker & Dunlop, Inc.",32.95,1014992722.6,n/a,2010,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/wd,3024
WMT,"Wal-Mart Stores, Inc.",66.5,204367155349,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/wmt,3025
DIS,Walt Disney Company (The),110.3,175538146314.6,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dis,3026
WAC,Walter Investment Management Corp.,3.7,134393187.1,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/wac,3027
WPG,Washington Prime Group Inc.,9.65,1789372103.65,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wpg,3028
WPG^H,Washington Prime Group Inc.,25.27,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wpg^h,3029
WPG^I,Washington Prime Group Inc.,25.65,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wpg^i,3030
WRE,Washington Real Estate Investment Trust,32.07,2391768092.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wre,3031
WCN,"Waste Connections, Inc.",80.62,14142910550.88,n/a,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/wcn,3032
WM,"Waste Management, Inc.",69.65,30785514939.9,n/a,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/wm,3033
WAT,Waters Corporation,146.34,11791758617.82,n/a,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/wat,3034
WSO,"Watsco, Inc.",153.2,5442764742,n/a,n/a,Consumer Durables,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wso,3035
WSO.B,"Watsco, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wso.b,3036
WTS,"Watts Water Technologies, Inc.",67.7,2317300185.8,n/a,1986,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/wts,3037
W,Wayfair Inc.,42.19,3609022338.13,n/a,2014,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/w,3038
WCIC,"WCI Communities, Inc.",23.45,617598851.1,n/a,2013,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/wcic,3039
WFT,Weatherford International plc,6.14,6028113352.66,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/wft,3040
WBS,Webster Financial Corporation,53.68,4923871863.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wbs,3041
WBS^E,Webster Financial Corporation,25.5,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wbs^e,3042
WEC,"WEC Energy Group, Inc.",57.64,18192181114.36,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/wec,3043
WTW,Weight Watchers International Inc,12.29,785030521.79,n/a,2001,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/wtw,3044
WRI,Weingarten Realty Investors,35.72,4574490479.96,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wri,3045
WMK,"Weis Markets, Inc.",60.38,1624127988.34,n/a,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/wmk,3046
WCG,"WellCare Health Plans, Inc.",148.67,6585021428.91,n/a,2004,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/wcg,3047
WFC,Wells Fargo & Company,57.27,287627294356.29,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wfc,3048
WFC.WS,Wells Fargo & Company,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc.ws,3049
WFC^J,Wells Fargo & Company,26.6,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^j,3050
WFC^L,Wells Fargo & Company,1215,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^l,3051
WFC^N,Wells Fargo & Company,23.96,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^n,3052
WFC^O,Wells Fargo & Company,24,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^o,3053
WFC^P,Wells Fargo & Company,24.17,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^p,3054
WFC^Q,Wells Fargo & Company,26.11,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^q,3055
WFC^R,Wells Fargo & Company,28.83,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^r,3056
WFC^T,Wells Fargo & Company,26.22,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^t,3057
WFC^V,Wells Fargo & Company,26.1,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^v,3058
WFC^W,Wells Fargo & Company,24.97,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^w,3059
WFC^X,Wells Fargo & Company,24.06,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^x,3060
WFE^A,Wells Fargo & Company,26.27,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfe^a,3061
