symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
DWSN,Dawson Geophysical Company,8.12,175655810.68,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dwsn,787
DBVT,DBV Technologies S.A.,33.42,822385724.64,24607592,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dbvt,788
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",16.7,392916063.6,n/a,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dfrg,789
TACO,"Del Taco Restaurants, Inc.",13.56,530914720.68,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/taco,790
TACOW,"Del Taco Restaurants, Inc.",4.3,0,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tacow,791
DCTH,"Delcath Systems, Inc.",0.3205,704276.6355,n/a,2000,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dcth,792
DMPI,"DelMar Pharmaceuticals, Inc.",5.06,52730826.72,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dmpi,793
DGAS,"Delta Natural Gas Company, Inc.",26.31,187231984.11,n/a,1981,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/dgas,794
DELT,Delta Technology Holdings Limited,1.29,12408319.08,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/delt,795
DELTW,Delta Technology Holdings Limited,0.0872,0,n/a,2013,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/deltw,796
DENN,Denny&#39;s Corporation,12.225,896910230.25,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/denn,797
XRAY,DENTSPLY SIRONA Inc.,57.14,13192510055.8,n/a,1987,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray,798
DEPO,"Depomed, Inc.",18.18,1119536489.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/depo,799
DSCI,"Derma Sciences, Inc.",6.95,196471113.75,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dsci,800
DERM,"Dermira, Inc.",29.32,1043898197.04,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/derm,801
DEST,Destination Maternity Corporation,5.7,79866997.8,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dest,802
DXLG,"Destination XL Group, Inc.",3.25,165177359.75,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dxlg,803
DSWL,"Deswell Industries, Inc.",1.85,29704042.15,n/a,1995,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/dswl,804
DTRM,"Determine, Inc. ",2.31,26814556.23,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dtrm,805
DXCM,"DexCom, Inc.",81.38,6878577035.98,n/a,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxcm,806
DXTR,Dextera Surgical Inc.,1.45,12945353.5,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxtr,807
DHXM,DHX Media Ltd.,5.2,132510097.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dhxm,808
DHIL,"Diamond Hill Investment Group, Inc.",202.53,691450584.45,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/dhil,809
FANG,"Diamondback Energy, Inc.",104.42,9412829588.28,n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fang,810
DCIX,Diana Containerships Inc.,2.72,25462665.28,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dcix,811
DRNA,"Dicerna Pharmaceuticals, Inc.",2.51,52090032.51,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drna,812
DFBG,Differential Brands Group Inc.,2.4,31401415.2,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dfbg,813
DFFN,Diffusion Pharmaceuticals Inc.,4.55,47072648.35,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dffn,814
DGII,Digi International Inc.,12.55,330340510.15,n/a,1989,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/dgii,815
DMRC,Digimarc Corporation,26,273584116,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dmrc,816
DRAD,Digirad Corporation,4.8,94462272,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/drad,817
